788000,788000,782000,747,28.6,783000
782000,791000,782000,2835,26.5,787000
792000,792000,779000,936,28.2,779000
779000,783000,777000,1289,23.7,777000
777000,779000,774000,1301,26,774000
775000,783000,770000,950,24.8,773000
771000,779000,769000,385,26.3,777000
773000,777000,773000,573,26,775000
773000,783000,773000,881,28.5,783000
785000,785000,778000,592,28.6,778000
774000,783000,774000,632,26.4,777000
774000,777000,772000,688,23.7,772000
773000,778000,770000,430,21.6,771000
771000,774000,769000,561,24,769000
771000,772000,743000,2962,25.8,746000
750000,756000,748000,1503,25.8,749000
747000,754000,745000,686,24.9,745000
755000,764000,746000,1405,26,764000
760000,779000,760000,1949,24,778000
774000,782000,768000,906,25.4,779000
775000,777000,759000,1952,25.5,760000
756000,764000,754000,1172,26.3,755000
751000,764000,751000,944,22.7,759000
756000,760000,750000,1639,20.9,750000
751000,758000,747000,2524,24,748000
748000,753000,746000,2808,23.9,746000
747000,749000,742000,2612,24,743000
745000,758000,745000,3669,24.7,756000
756000,761000,752000,2966,24.5,759000
761000,771000,759000,4026,24.3,761000
770000,770000,760000,2278,21.7,761000
767000,767000,760000,2593,17.6,765000
765000,766000,757000,1734,19,758000
753000,761000,750000,1981,15.6,755000
754000,767000,752000,1722,13,766000
765000,772000,765000,1376,14.6,770000
766000,774000,766000,1592,16,771000
771000,778000,771000,2088,14,778000
778000,792000,774000,2638,15,792000
788000,795000,783000,1145,16.1,784000
790000,792000,778000,2477,17.3,784000
789000,791000,786000,1213,18.9,786000
791000,791000,779000,1009,18.3,782000
780000,783000,772000,1369,16.6,776000
776000,790000,772000,1505,15.7,788000
782000,816000,782000,5129,15.7,802000
815000,815000,795000,1103,13.1,799000
802000,808000,785000,1446,13.9,785000
785000,792000,774000,1495,15.9,774000
774000,783000,763000,1844,15.2,775000
771000,778000,763000,2695,15.8,765000
763000,776000,763000,867,16.9,767000
769000,792000,768000,1147,9.9,785000
785000,800000,777000,2130,4,792000
794000,800000,789000,1298,5.6,789000
786000,786000,776000,1169,7.2,778000
779000,782000,771000,1663,9.6,771000
772000,781000,761000,1708,11.4,767000
769000,769000,754000,1467,5,761000
761000,770000,760000,2074,7.2,762000
767000,775000,763000,723,10.6,774000
777000,784000,770000,2189,11.2,784000
782000,791000,775000,1077,7,790000
789000,802000,782000,2980,2.9,800000
800000,809000,798000,3167,4.1,809000
809000,812000,800000,3893,9.3,800000
813000,814000,784000,1408,8.9,793000
799000,804000,785000,747,1.4,786000
781000,794000,774000,1388,3.7,783000
786000,795000,776000,949,6.5,791000
790000,822000,782000,2935,6.5,821000
821000,828000,812000,1668,5.9,826000
820000,837000,820000,1750,6.2,821000
826000,826000,806000,957,5.9,813000
795000,810000,795000,2099,6.3,797000
798000,820000,794000,956,3.1,815000
815000,825000,799000,1214,0.4,805000
806000,822000,804000,2455,3.2,816000
813000,827000,807000,2206,7.3,827000
822000,831000,820000,1110,7.2,822000
812000,835000,812000,1535,9.5,829000
825000,841000,822000,1401,0,839000
832000,842000,828000,916,3,835000
835000,863000,827000,3555,-0.7,863000
851000,862000,850000,1429,0.4,862000
853000,863000,837000,4611,-1.8,849000
849000,860000,833000,5046,2.9,856000
862000,862000,853000,1076,3.7,858000
848000,861000,845000,1172,-4,852000
851000,863000,842000,1362,-10.5,863000
863000,919000,857000,4556,-7.7,904000
896000,922000,885000,3136,-2.1,915000
912000,920000,882000,2675,4.1,917000
923000,924000,907000,4313,4.9,917000
917000,945000,912000,4402,4,945000
951000,958000,937000,3509,-1.9,945000
948000,958000,945000,1135,-12.3,949000
948000,950000,939000,1303,-4.9,940000
940000,948000,939000,1750,-2.6,944000
927000,949000,927000,1216,-5.7,939000
938000,963000,929000,2873,-6.1,960000
952000,967000,925000,3107,-4.5,927000
917000,948000,916000,2216,-3.9,937000
937000,950000,929000,1806,-4,939000
922000,948000,921000,2402,-7.6,928000
922000,949000,916000,1869,-7,949000
937000,949000,927000,1347,-8.2,939000
926000,947000,926000,1997,-5.4,937000
925000,927000,918000,1827,-8.2,922000
910000,919000,900000,4788,-5.9,904000
900000,919000,886000,1892,-3.8,913000
897000,918000,897000,1141,-9.7,908000
896000,919000,896000,979,-6.7,900000
904000,925000,900000,1437,-6.6,908000
908000,913000,899000,1219,-8.2,908000
908000,910000,896000,1176,-6.8,907000
896000,907000,889000,1516,-8.8,895000
896000,925000,886000,1687,-8.4,922000
907000,930000,905000,1006,-8.5,922000
922000,926000,913000,1153,-8.9,918000
913000,919000,905000,1139,-7.9,910000
910000,910000,886000,2700,-6.2,886000
886000,951000,880000,4057,-0.2,892000
910000,926000,905000,2612,0.3,922000
914000,930000,914000,2609,2.9,924000
920000,926000,913000,790,-1.2,926000
924000,927000,911000,2318,-2.1,914000
915000,924000,911000,1366,-2.9,919000
910000,923000,905000,920,-3.4,905000
901000,907000,894000,1217,-1.8,902000
909000,924000,897000,2184,-0.6,924000
924000,925000,910000,1834,0.9,922000
938000,938000,920000,1328,1.6,929000
915000,922000,910000,840,6.2,920000
924000,924000,896000,1423,6.2,904000
904000,919000,895000,1283,5.6,916000
922000,923000,906000,1263,6.1,910000
903000,924000,900000,1712,2,920000
921000,926000,904000,2602,2.8,919000
907000,927000,905000,932,-2.1,911000
912000,916000,901000,2537,-2.1,904000
907000,920000,901000,1867,0.1,910000
903000,915000,892000,1044,1.6,900000
905000,916000,892000,1875,1.6,907000
910000,928000,903000,1390,0.2,924000
936000,947000,925000,3224,1.4,929000
937000,937000,915000,1500,4.6,925000
910000,937000,879000,2031,6.7,934000
908000,944000,903000,2362,1.5,905000
920000,944000,910000,2245,-0.4,944000
945000,958000,942000,3340,0.8,957000
944000,980000,944000,2689,5.7,971000
971000,1008000,971000,1539,8,995000
1006000,1027000,998000,3402,1.8,1023000
1023000,1033000,1016000,1949,2.2,1028000
1029000,1038000,1015000,1928,2.9,1037000
1026000,1070000,1023000,2399,2.2,1070000
1069000,1077000,1051000,1668,5.2,1056000
1056000,1065000,1030000,1436,4.8,1051000
1043000,1060000,1032000,2712,7.3,1044000
1045000,1076000,1044000,4401,9.2,1074000
